code,name,category,price,unit,image,stock
54881005982,احمدتي انجليزي(لندن)ناعم100فتله,احمدتي,0,,,0
54881006002,احمدتي(لندن)ناعم100فتله,احمدتي,0,,,0
54881008600,احمدتي(لندن)ناعم250جم,احمدتي,0,,,0
54881009690,احمدتي(لندن)ايرل غراي250فتله,احمدتي,0,,,0
54881011181,احمدتي لندني25فتله,احمدتي,0,,,0
54881014595,احمدتي افطور الانجليزي25فتله,احمدتي,0,,,0
71737981320,كابتن بلاك كومبك *10,ملابورو,0,,,0
71737993453,سجايركابتن بلاك كومبكت جولد,مستورد,0,,,0
71737995013,كابتن بلك ازق*10,مستورد,0,,,0
71737995976,سجايركبتن بلك نعاع*10,مستورد,0,,,0
71737996003,سجايركبتن بلك سلفر*10,مستورد,0,,,0
89686171372,اندومي صغير اطعمه,اندومي,0,,,0
100,فورى11,مدفوعات,0,,,0
101,فورى بساطه,مدفوعات,0,,,0
102,فورى مكسب,مدفوعات,0,,,0
1100001,حدائق كاليفورنيا فول جاهزلاكل وانوعه,ايمن افندى,0,,,0
114453443611,حبل عسيل,اكياس قمامه,0,,,0
120000001507,اصفر  اصفري,ماكنة حلاق,0,,,0
123456789012,مشتك يواس بيهm100-m2500,وصلات وشوحن,0,,,0
1411200920026,لعبه عربيه شروقي0026,العاب اطفال كبيره,0,,,0
150,لانشون حلواني بهار- وزن,جبه سايبه,0,,,0
151,شيدرمصري-وزن,جبه سايبه,0,,,0
180286177556,موس كوبيووتر,وصلات وشوحن,0,,,0
2,لب ابيض محمصه,تسالي,0,,,0
2002003006060,شبانه كزبره مطحونه,توابل,0,,,0
2019120100017,017وصلات شحن عادي,وصلات وشوحن,0,,,0
30142923,نسكفيه جولد ظرف,نسله,0,,,0
3073781014020,كيرى8,هاينز,0,,,0
3073781014082,كيرى6 قطع,هاينز,0,,,0
3329106021908,كشكول عربي 76 ورقه,كرست وورق,0,,,0
3329106081926,Sكشكول56ورقة926خط واسع,كرست وورق,0,,,0
3587925341762,برفاان حريمي,مستخدمات حريمي,0,,,0
3800209838520,نيو كريمه 600,شكلاته,0,,,0
4002448090939,مكنه سويت 939,ماكنة حلاق,0,,,0
4006067060977,دفيدوف قهوه اسبرسو100جم,ايمن افندي,0,,,0
4006067084225,دافيدوف قهوة ريتش اروما100ج,ايمن افندي,0,,,0
4006067084300,دافيدوف قهوة فاين اروما100جم,ايمن افندي,0,,,0
4011100023710,كيس مارس,بسكويت,0,,,0
40111445,ام *ام,جلاكسى,0,,,0
40111490,جلاكسى ام *ام,جلاكسى,0,,,0
4032900110059,ونستون توت*10,ونستون,0,,,0
